"",".model_id",".model_desc",".type","mae","mape","mase","smape","rmse","rsq","cod_regsaud"
"233",1,"PROPHET","Test",8.132203183102,14.4877707382549,0.772895343848537,13.3731185594124,9.94931029493231,0.0211854163148773,"31064"
"234",1,"PROPHET","Test",6.94711697510652,10.0520061860877,0.688722803566595,10.1538336460242,9.20739349130588,0.153670356065143,"31065"
"235",1,"PROPHET","Test",6.84692782581701,11.2051486163166,0.865271098866985,11.2657910942379,8.21681290820164,0.300519613122985,"31066"
"236",1,"PROPHET","Test",6.88052717195658,12.1904267989457,1.49294457504718,11.2785948945405,8.03615230240261,0.110158786278466,"31067"
"237",1,"PROPHET","Test",7.78126675566899,16.8264833661725,0.873020172587253,15.4363283058445,9.81696323237085,0.00115479778610079,"31068"
"238",1,"PROPHET","Test",19.4748318284517,9.82055408476727,0.897637539187153,9.52676446996417,22.7687577875121,0.320049285802756,"31070"
"239",1,"PROPHET","Test",11.2307514985907,7.52924019322306,0.584405620967391,7.19322632993853,16.4282871244667,0.212412086143719,"31071"
"240",2,"XGBOOST","Test",29.2629369099935,8.09850116307234,0.791820645799824,7.83413384017173,40.9945098269701,NA,"31072"
"241",2,"XGBOOST","Test",13.5260162353516,8.46260888369451,0.840806414629962,8.71089483328538,16.7751048207665,NA,"31073"
"242",2,"XGBOOST","Test",15.8486150105794,7.902961916255,1.05048456842457,8.39910845383604,21.2429992698993,NA,"31074"
"243",1,"PROPHET","Test",38.2243934212357,4.31953006703067,0.686844569287829,4.2674322715466,44.414943690388,0.481711410802881,"31075"
"244",2,"XGBOOST","Test",9.14486185709635,14.023789173074,0.685119943691258,13.2322920868396,10.7735644757166,NA,"31076"
"245",1,"PROPHET","Test",8.71085329747227,11.4167576962888,1.02219196858093,10.8380164578196,9.50300891778143,0.265785871223277,"31077"
"246",1,"PROPHET","Test",10.9100329528295,8.87175560277457,0.570297177079722,8.57868568217741,13.0909834711053,0.280163250633875,"31078"
"247",2,"XGBOOST","Test",13.626838684082,8.57204598246723,0.771963767817455,8.25418450830074,16.4255947173036,NA,"31079"
"248",1,"PROPHET","Test",9.19640389613428,19.5513597291477,1.12509196601643,17.6567355870927,10.2749613802962,0.171086789259072,"31080"
"249",1,"PROPHET","Test",5.07430837239426,14.1967168102341,0.634288546549282,14.0536255963019,6.41956113584193,0.227937704798951,"31081"
"250",2,"XGBOOST","Test",8.54785919189453,7.22456181587005,0.815770794247196,7.4321359140656,10.8673620722135,NA,"31082"
"251",1,"PROPHET","Test",4.89228574856449,6.586592682048,0.872268001682041,6.56333130568874,6.4124454367011,0.332695551868563,"31083"
"252",2,"XGBOOST","Test",37.3581186930339,7.50471166176278,0.852417390813272,7.68060845587661,46.8363371440279,NA,"31084"
"253",1,"PROPHET","Test",11.4699710120672,8.96770249082617,0.634157051147944,8.65432108495253,13.991452466829,0.286455564174232,"31085"
"254",2,"XGBOOST","Test",25.8658142089844,7.54261697309134,0.939832111858832,7.90231089613401,35.4062985289848,NA,"31086"
"255",2,"XGBOOST","Test",11.8562431335449,9.04372439802669,0.735023159222462,9.2632761269152,14.8831970077853,NA,"31087"
"256",1,"PROPHET","Test",9.96771718059832,11.4970862852479,0.885164073952747,11.5236029233746,11.3878652796268,0.306540886881465,"31088"
"257",1,"PROPHET","Test",8.65331023779389,11.4486306753093,0.667872937816307,10.7926521444182,11.2500995892637,0.168767887148821,"31089"
"258",1,"PROPHET","Test",7.82236934971604,15.8674256497838,0.562232797010841,15.2155441057579,9.68227001730134,0.109712496725542,"31090"
"259",2,"XGBOOST","Test",6.37240282694499,15.1948511126795,0.621039258558198,14.6507994238775,7.59546736193913,NA,"31091"
"260",2,"XGBOOST","Test",14.3671760559082,7.61682808645114,0.832355287873775,7.42214723409355,18.2438323957008,NA,"31092"
"261",1,"PROPHET","Test",7.07740510203905,11.1325884042606,0.626078143641916,10.4155295802322,9.83876301686527,0.216173913667204,"31093"
"262",1,"PROPHET","Test",18.4541170935942,14.2996027693083,0.947421190072916,13.1351715190148,21.7434305640116,0.36774730327652,"31094"
"263",2,"XGBOOST","Test",7.51699701944987,13.1000063704421,0.785867870215214,12.947362971395,9.14317972364767,NA,"31095"
"264",1,"PROPHET","Test",7.20685687231466,17.7771367528527,0.804649068268142,17.5592888428024,8.49973099812498,0.130213991965128,"31096"
"265",1,"PROPHET","Test",30.7397061312715,6.42465794709151,1.06477897743862,6.16620293332543,35.9442106461098,0.653206375696627,"31097"
"266",1,"PROPHET","Test",6.35564733135808,10.0351199287342,0.919370368687017,10.3917225601665,7.86370665340581,0.126942727038242,"31098"
"267",2,"XGBOOST","Test",24.1541748046875,9.99895591716994,0.995602187289987,9.38014695107581,28.957836510521,NA,"31099"
