"","uf_sigla","ano","mes","competen","qtd"
"203","CE","2016","04",2016-04-01,11387
"204","CE","2009","08",2009-08-01,10737
"205","CE","2022","09",2022-09-01,8402
"206","CE","2011","09",2011-09-01,10945
"207","CE","2019","09",2019-09-01,10556
"208","CE","2001","09",2001-09-01,12732
"209","CE","2007","11",2007-11-01,10447
"210","CE","2003","03",2003-03-01,12317
"211","CE","2021","01",2021-01-01,9452
"212","CE","2006","06",2006-06-01,11998
"213","CE","2001","07",2001-07-01,12735
"214","CE","2011","11",2011-11-01,10540
"215","CE","2017","10",2017-10-01,10570
"216","CE","2017","01",2017-01-01,9807
"217","CE","2005","09",2005-09-01,12291
"218","CE","2014","10",2014-10-01,11067
"219","CE","2020","06",2020-06-01,10368
"220","CE","2013","09",2013-09-01,10955
"221","CE","2009","10",2009-10-01,10523
"222","CE","2018","10",2018-10-01,11227
"223","CE","2003","05",2003-05-01,12796
"224","CE","2004","09",2004-09-01,11431
"225","CE","2012","12",2012-12-01,10041
"226","CE","2004","06",2004-06-01,11539
"227","CE","2012","02",2012-02-01,10006
"228","CE","2002","05",2002-05-01,13700
"229","CE","2008","12",2008-12-01,11139
"230","CE","2022","03",2022-03-01,10037
"231","CE","2009","05",2009-05-01,11217
"232","CE","2021","05",2021-05-01,11059
"233","CE","2024","02",2024-02-01,8250
"234","CE","2012","03",2012-03-01,11147
"235","CE","2018","11",2018-11-01,10664
"236","CE","2008","01",2008-01-01,10831
"237","CE","2012","07",2012-07-01,10591
"238","CE","2005","06",2005-06-01,11826
"239","CE","2011","03",2011-03-01,11098
"240","CE","2021","11",2021-11-01,9544
"241","CE","2004","05",2004-05-01,12414
"242","CE","2023","04",2023-04-01,9574
"243","CE","2020","01",2020-01-01,10416
"244","CE","2011","12",2011-12-01,10517
"245","CE","2023","09",2023-09-01,9203
"246","CE","2013","10",2013-10-01,10183
"247","CE","2002","11",2002-11-01,10517
"248","CE","2010","02",2010-02-01,10043
"249","CE","2002","10",2002-10-01,11551
"250","CE","2015","07",2015-07-01,10982
"251","CE","2010","07",2010-07-01,11345
"252","CE","2001","08",2001-08-01,12524
"253","CE","2002","04",2002-04-01,13110
"254","CE","2009","11",2009-11-01,10470
"255","CE","2007","02",2007-02-01,9945
"256","CE","2000","06",2000-06-01,12401
"257","CE","2011","06",2011-06-01,11099
"258","CE","2010","04",2010-04-01,11191
"259","CE","2013","01",2013-01-01,10030
"260","CE","2014","06",2014-06-01,10828
"261","CE","2020","07",2020-07-01,10323
"262","CE","2017","03",2017-03-01,10681
"263","CE","2013","06",2013-06-01,10648
"264","CE","2024","05",2024-05-01,9464
"265","CE","2001","02",2001-02-01,11448
"266","CE","2020","04",2020-04-01,10737
"267","CE","2004","12",2004-12-01,10251
"268","CE","2008","09",2008-09-01,11181
"269","CE","2022","06",2022-06-01,9361
"270","CE","2015","06",2015-06-01,11166
"271","CE","2005","10",2005-10-01,11936
"272","CE","2003","02",2003-02-01,11133
"273","CE","2000","09",2000-09-01,12160
"274","CE","2024","01",2024-01-01,8787
"275","CE","2009","01",2009-01-01,11397
"276","CE","2021","02",2021-02-01,8955
"277","CE","2004","08",2004-08-01,11483
"278","CE","2016","11",2016-11-01,9153
"279","CE","2000","11",2000-11-01,10168
"280","CE","2016","12",2016-12-01,9684
"281","CE","2018","12",2018-12-01,10734
"282","CE","2004","04",2004-04-01,12224
"283","CE","2010","10",2010-10-01,10437
"284","CE","2008","06",2008-06-01,11169
"285","CE","2007","03",2007-03-01,11807
"286","CE","2016","10",2016-10-01,10004
"287","CE","2022","12",2022-12-01,9911
"288","CE","2019","11",2019-11-01,10054
"289","CE","2000","01",2000-01-01,12098
"290","CE","2007","04",2007-04-01,11227
"291","CE","2011","05",2011-05-01,11993
"292","CE","2004","03",2004-03-01,12153
"293","CE","2023","05",2023-05-01,10025
"294","CE","2015","10",2015-10-01,11028
