"","cod_regsaude",".index",".value",".model_id",".model_desc",".key","tipo",".conf_lo",".conf_hi","arquivo_origem"
"102",16001,"2012-06-01",743,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"103",16001,"2019-01-01",849,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"104",16001,"2002-12-01",756,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"105",16001,"2007-10-01",849,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"106",16001,"2003-07-01",840,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"107",16001,"2022-07-01",777,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"108",16001,"2007-02-01",705,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"109",16001,"2016-12-01",844,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"110",16001,"2014-02-01",805,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"111",16001,"2014-08-01",912,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"112",16001,"2009-02-01",892,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"113",16001,"2019-05-01",813,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"114",16001,"2008-12-01",881,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"115",16001,"2017-12-01",889,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"116",16001,"2011-04-01",889,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"117",16001,"2021-11-01",942,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"118",16001,"2000-06-01",701,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"119",16001,"2021-07-01",799,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"120",16001,"2010-06-01",797,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"121",16001,"2021-01-01",788,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"122",16001,"2017-10-01",940,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"123",16001,"2007-09-01",848,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"124",16001,"2001-03-01",806,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"125",16001,"2017-07-01",871,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"126",16001,"2018-06-01",823,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"127",16001,"2001-11-01",857,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"128",16001,"2006-06-01",708,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"129",16001,"2003-05-01",781,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"130",16001,"2016-09-01",927,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"131",16001,"2000-11-01",764,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"132",16001,"2003-09-01",815,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"133",16001,"2001-05-01",780,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"134",16001,"2022-08-01",771,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"135",16001,"2015-10-01",916,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"136",16001,"2020-11-01",792,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"137",16001,"2017-01-01",841,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"138",16001,"2005-08-01",829,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
