"","UF","perc_fc","ano","variacao_percentual","direcao"
"115","PI",0.388130173236437,2026,-23.5496670901095,"Redução"
"116","PI",0.371142455088114,2027,-23.5496670901095,"Redução"
"117","PI",0.354898256995139,2028,-23.5496670901095,"Redução"
"118","PI",0.339365036501374,2029,-23.5496670901095,"Redução"
"119","PI",0.324511675471984,2030,-23.5496670901095,"Redução"
"120","PR",0.342462284806736,2024,-12.869250127728,"Redução"
"121","PR",0.334688912297492,2025,-12.869250127728,"Redução"
"122","PR",0.327091983510224,2026,-12.869250127728,"Redução"
"123","PR",0.319667493441055,2027,-12.869250127728,"Redução"
"124","PR",0.312411527993602,2028,-12.869250127728,"Redução"
"125","PR",0.305320261915509,2029,-12.869250127728,"Redução"
"126","PR",0.298389956781825,2030,-12.869250127728,"Redução"
"127","RJ",0.292107490882729,2024,-22.7486976084751,"Redução"
"128","RJ",0.279808130156597,2025,-22.7486976084751,"Redução"
"129","RJ",0.268026641374845,2026,-22.7486976084751,"Redução"
"130","RJ",0.256741219229316,2027,-22.7486976084751,"Redução"
"131","RJ",0.245930976537402,2028,-22.7486976084751,"Redução"
"132","RJ",0.23557590558382,2029,-22.7486976084751,"Redução"
"133","RJ",0.225656841090113,2030,-22.7486976084751,"Redução"
"134","RN",0.450755436100806,2024,-20.4788430953594,"Redução"
"135","RN",0.433865137596015,2025,-20.4788430953594,"Redução"
"136","RN",0.417607737023745,2026,-20.4788430953594,"Redução"
"137","RN",0.401959519007215,2027,-20.4788430953594,"Redução"
"138","RN",0.386897656810714,2028,-20.4788430953594,"Redução"
"139","RN",0.372400179041249,2029,-20.4788430953594,"Redução"
"140","RN",0.358445937597919,2030,-20.4788430953594,"Redução"
"141","RO",0.479428761694547,2024,-25.3937007050489,"Redução"
"142","RO",0.456583277056011,2025,-25.3937007050489,"Redução"
"143","RO",0.434826413313986,2026,-25.3937007050489,"Redução"
"144","RO",0.414106296083882,2027,-25.3937007050489,"Redução"
"145","RO",0.394373522871721,2028,-25.3937007050489,"Redução"
"146","RO",0.375581045284922,2029,-25.3937007050489,"Redução"
"147","RO",0.357684056855912,2030,-25.3937007050489,"Redução"
"148","RR",0.636700346189798,2024,7.50483482579594,"Crescimento"
"149","RR",0.644426046354151,2025,7.50483482579594,"Crescimento"
"150","RR",0.652245489899337,2026,7.50483482579594,"Crescimento"
"151","RR",0.660159814304324,2027,7.50483482579594,"Crescimento"
"152","RR",0.668170170850211,2028,7.50483482579594,"Crescimento"
"153","RR",0.676277724787702,2029,7.50483482579594,"Crescimento"
"154","RR",0.684483655506613,2030,7.50483482579594,"Crescimento"
"155","RS",0.370760251447258,2024,-18.1208718133965,"Redução"
"156","RS",0.358609703098935,2025,-18.1208718133965,"Redução"
"157","RS",0.346857352304391,2026,-18.1208718133965,"Redução"
"158","RS",0.335490149340496,2027,-18.1208718133965,"Redução"
"159","RS",0.324495472149412,2028,-18.1208718133965,"Redução"
"160","RS",0.313861112323156,2029,-18.1208718133965,"Redução"
"161","RS",0.303575261547473,2030,-18.1208718133965,"Redução"
"162","SC",0.24723001071403,2024,-1.4567886603209,"Redução"
"163","SC",0.246626064535156,2025,-1.4567886603209,"Redução"
"164","SC",0.246023593707054,2026,-1.4567886603209,"Redução"
"165","SC",0.24542259462566,2027,-1.4567886603209,"Redução"
"166","SC",0.244823063695717,2028,-1.4567886603209,"Redução"
"167","SC",0.244224997330747,2029,-1.4567886603209,"Redução"
"168","SC",0.243628391953037,2030,-1.4567886603209,"Redução"
"169","SE",0.295535155435009,2024,-22.8506665811645,"Redução"
"170","SE",0.283029158115457,2025,-22.8506665811645,"Redução"
"171","SE",0.2710523701508,2026,-22.8506665811645,"Redução"
"172","SE",0.259582397282175,2027,-22.8506665811645,"Redução"
"173","SE",0.248597792896157,2028,-22.8506665811645,"Redução"
"174","SE",0.238078017923769,2029,-22.8506665811645,"Redução"
"175","SE",0.228003402436429,2030,-22.8506665811645,"Redução"
"176","SP",0.331971712668031,2024,-17.2146796942015,"Redução"
"177","SP",0.321681906926551,2025,-17.2146796942015,"Redução"
"178","SP",0.311711044330395,2026,-17.2146796942015,"Redução"
"179","SP",0.302049238907711,2027,-17.2146796942015,"Redução"
"180","SP",0.29268691111254,2028,-17.2146796942015,"Redução"
"181","SP",0.283614778326836,2029,-17.2146796942015,"Redução"
"182","SP",0.274823845656875,2030,-17.2146796942015,"Redução"
"183","TO",0.447332827336235,2024,-7.44271267940456,"Redução"
"184","TO",0.441603533238642,2025,-7.44271267940456,"Redução"
"185","TO",0.435947618085877,2026,-7.44271267940456,"Redução"
"186","TO",0.43036414206416,2027,-7.44271267940456,"Redução"
"187","TO",0.42485217739654,2028,-7.44271267940456,"Redução"
"188","TO",0.419410808188736,2029,-7.44271267940456,"Redução"
"189","TO",0.414039130276942,2030,-7.44271267940456,"Redução"
