"","uf_sigla","necessidade","oferta","perc","absoluto","perc_medio","cenario","categoria"
"175","MT",517.789910494797,267.239201670189,51.6115119768976,-250.550708824608,51.61,"Cenário 3","Médicos"
"176","PA",1445.44297578617,481.390917538402,33.3040407406302,-964.052058247763,33.3,"Cenário 3","Médicos"
"177","PB",533.470356439504,254.241740595223,47.6580821270158,-279.228615844282,47.66,"Cenário 3","Médicos"
"178","PE",1228.97811737481,545.512964070425,44.3875245912175,-683.465153304385,44.39,"Cenário 3","Médicos"
"179","PI",391.634876251707,238.579987753256,60.9189840385712,-153.054888498452,60.92,"Cenário 3","Médicos"
"180","PR",958.749874065804,1038.23243772554,108.290229371574,79.4825636597318,108.29,"Cenário 3","Médicos"
"181","RJ",1383.01610532501,813.655406369697,58.8319545402899,-569.360698955311,58.83,"Cenário 3","Médicos"
"182","RN",395.296351818039,187.854180273252,47.5223662979122,-207.442171544787,47.52,"Cenário 3","Médicos"
"183","RO",220.168401736712,145.950150560377,66.2902348425596,-74.2182511763357,66.29,"Cenário 3","Médicos"
"184","RR",113.557068972321,66.0929605952662,58.2024185666292,-47.4641083770549,58.2,"Cenário 3","Médicos"
"185","RS",895.702527737027,930.256377157206,103.857737178378,34.5538494201794,103.86,"Cenário 3","Médicos"
"186","SC",782.352041183406,624.663993265268,79.8443616661862,-157.688047918137,79.84,"Cenário 3","Médicos"
"187","SE",304.381012754237,124.580171939065,40.9290220870817,-179.800840815173,40.93,"Cenário 3","Médicos"
"188","SP",3140.16404224889,2563.48324664842,81.6353289878616,-576.680795600476,81.64,"Cenário 3","Médicos"
"189","TO",194.162648683309,145.915968009769,75.1514099129163,-48.2466806735401,75.15,"Cenário 3","Médicos"
"190","AC",82.2314680423708,46.0950124100497,56.0551982196143,-36.1364556323211,56.06,"Cenário 4","Médicos"
"191","AL",243.809255499296,174.993147439105,71.7746121166475,-68.8161080601902,71.77,"Cenário 4","Médicos"
"192","AM",281.772125142264,267.978194322632,95.104579343089,-13.7939308196314,95.1,"Cenário 4","Médicos"
"193","AP",55.2234897035393,54.2212451897511,98.1851119529595,-1.0022445137882,98.19,"Cenário 4","Médicos"
"194","BA",766.333506167406,854.790078294867,111.542829775231,88.4565721274616,111.54,"Cenário 4","Médicos"
"195","CE",507.25949202611,572.522931592811,112.865888286491,65.2634395667009,112.87,"Cenário 4","Médicos"
"196","DF",104.335404099187,218.37022742996,209.296383442734,114.034823330773,209.3,"Cenário 4","Médicos"
"197","ES",183.052198575699,186.260451856434,101.752643948392,3.20825328073579,101.75,"Cenário 4","Médicos"
"198","GO",413.079102772715,363.650809978522,88.0341822032596,-49.4282927941929,88.03,"Cenário 4","Médicos"
"199","MA",465.639390354012,484.323981561507,104.012674098145,18.6845912074949,104.01,"Cenário 4","Médicos"
"200","MG",851.677810534611,1223.34768821396,143.639727732961,371.669877679351,143.64,"Cenário 4","Médicos"
"201","MS",157.323281459107,182.547253890352,116.033210213583,25.223972431245,116.03,"Cenário 4","Médicos"
"202","MT",223.79502346285,272.731623382864,121.866706043237,48.9365999200144,121.87,"Cenário 4","Médicos"
"203","PA",604.375726042348,491.284682791583,81.2879574116381,-113.091043250765,81.29,"Cenário 4","Médicos"
"204","PB",233.460580003873,259.467032571798,111.13954765618,26.0064525679245,111.14,"Cenário 4","Médicos"
"205","PE",503.71472828834,556.724594810528,110.523787283791,53.0098665221882,110.52,"Cenário 4","Médicos"
"206","PI",170.854529163781,243.483392256622,142.509182196287,72.6288630928407,142.51,"Cenário 4","Médicos"
"207","PR",471.647133325722,1059.57066336058,224.653260561394,587.923530034857,224.65,"Cenário 4","Médicos"
"208","RJ",593.240147822074,830.378022635014,139.973335534274,237.13787481294,139.97,"Cenário 4","Médicos"
"209","RN",165.372225236592,191.715044892295,115.929409922383,26.3428196557031,115.93,"Cenário 4","Médicos"
"210","RO",99.5149309595043,148.949784487196,149.675815529439,49.4348535276919,149.68,"Cenário 4","Médicos"
"211","RR",56.1273647908182,67.4513332051216,120.175485623647,11.3239684143034,120.18,"Cenário 4","Médicos"
"212","RS",429.544269727157,949.375429647709,221.01922818124,519.831159920552,221.02,"Cenário 4","Médicos"
"213","SC",342.009149416477,637.50237198476,186.399215656202,295.493222568283,186.4,"Cenário 4","Médicos"
"214","SE",124.878939878779,127.140600338231,101.811082366368,2.2616604594521,101.81,"Cenário 4","Médicos"
"215","SP",1432.66424972857,2616.16912116074,182.608669243782,1183.50487143218,182.61,"Cenário 4","Médicos"
"216","TO",98.4207425858443,148.914899401249,151.304385121219,50.4941568154052,151.3,"Cenário 4","Médicos"
